17,3,2013-04-26,WC1,SAS,@,LAL,3,W (+31),1,27:19,5,8,.625,0,0,,2,2,1.000,0,4,4,2,1,0,0,1,12,11.6,+15
18,4,2013-04-28,WC1,SAS,@,LAL,4,W (+21),1,32:15,5,10,.500,1,2,.500,2,2,1.000,1,6,7,1,3,0,0,0,13,14.2,+13
19,5,2013-05-06,WCS,SAS,,GSW,1,W (+2),1,41:01,7,11,.636,1,1,1.000,3,5,.600,4,5,9,3,2,0,1,4,18,18.1,+6
20,6,2013-05-08,WCS,SAS,,GSW,2,L (-9),1,43:19,5,11,.455,0,3,.000,1,5,.200,7,5,12,2,1,2,2,0,11,11.9,-8
21,7,2013-05-10,WCS,SAS,@,GSW,3,W (+10),1,41:27,5,7,.714,1,1,1.000,4,8,.500,2,7,9,1,1,0,0,2,15,14.9,+17
22,8,2013-05-12,WCS,SAS,@,GSW,4,L (-10),1,45:24,4,11,.364,0,3,.000,3,4,.750,3,5,8,2,1,0,3,4,11,5.9,-11
23,9,2013-05-14,WCS,SAS,,GSW,5,W (+18),1,37:20,7,8,.875,3,4,.750,0,0,,2,5,7,1,2,0,1,2,17,18.0,+19
24,10,2013-05-16,WCS,SAS,@,GSW,6,W (+12),1,34:01,6,13,.462,1,4,.250,3,4,.750,4,6,10,0,2,0,2,3,16,12.3,+7
25,11,2013-05-19,WCF,SAS,,MEM,1,W (+22),1,29:56,7,10,.700,4,5,.800,0,0,,0,2,2,1,2,1,1,0,18,16.8,+9
26,12,2013-05-21,WCF,SAS,,MEM,2,W (+4),1,40:11,5,9,.556,2,5,.400,0,0,,0,9,9,0,0,1,2,1,12,8.7,+15
27,13,2013-05-25,WCF,SAS,@,MEM,3,W (+11),1,34:37,2,6,.333,0,1,.000,0,1,.000,2,9,11,0,1,1,1,1,4,4.6,+6
28,14,2013-05-27,WCF,SAS,@,MEM,4,W (+7),1,38:28,5,7,.714,1,2,.500,0,0,,1,5,6,1,5,0,1,2,11,14.2,+13
29,15,2013-06-06,FIN,SAS,@,MIA,1,W (+4),1,35:23,3,9,.333,0,4,.000,4,4,1.000,2,8,10,1,1,0,0,2,10,9.6,+6
30,16,2013-06-09,FIN,SAS,@,MIA,2,L (-19),1,33:29,4,12,.333,1,3,.333,0,1,.000,8,6,14,2,1,0,1,2,9,9.8,-21
31,17,2013-06-11,FIN,SAS,,MIA,3,W (+36),1,29:29,6,10,.600,2,3,.667,0,0,,3,9,12,2,4,0,1,2,14,17.8,+29
32,18,2013-06-13,FIN,SAS,,MIA,4,L (-16),1,33:19,5,10,.500,1,2,.500,1,2,.500,1,6,7,0,1,2,1,2,12,9.7,-6
33,19,2013-06-16,FIN,SAS,,MIA,5,W (+10),1,32:42,6,8,.750,2,4,.500,2,2,1.000,1,7,8,1,3,0,2,3,16,16.1,+2
34,20,2013-06-18,FIN,SAS,@,MIA,6,L (-3),1,45:48,9,14,.643,1,3,.333,3,4,.750,2,9,11,0,3,0,0,3,22,21.3,+11
35,21,2013-06-20,FIN,SAS,@,MIA,7,L (-7),1,45:00,8,17,.471,1,4,.250,2,4,.500,4,12,16,0,1,1,2,2,19,14.8,-8
36,1,2014-04-20,WC1,SAS,,DAL,1,W (+5),1,31:23,4,11,.364,0,3,.000,3,4,.750,1,9,10,0,0,0,1,2,11,6.1,+23
37,2,2014-04-23,WC1,SAS,,DAL,2,L (-21),1,22:25,1,5,.200,1,2,.500,3,5,.600,4,1,5,0,0,0,2,3,6,2.0,-6
38,3,2014-04-26,WC1,SAS,@,DAL,3,L (-1),1,38:29,7,8,.875,2,2,1.000,1,3,.333,1,4,5,3,5,0,5,4,17,15.8,-7
39,4,2014-04-28,WC1,SAS,@,DAL,4,W (+4),1,37:55,3,8,.375,0,3,.000,1,2,.500,3,9,12,1,0,1,3,2,7,4.6,+6
40,5,2014-04-30,WC1,SAS,,DAL,5,W (+6),1,34:55,6,10,.600,1,2,.500,2,3,.667,1,7,8,1,0,0,1,1,15,12.1,+13
41,6,2014-05-02,WC1,SAS,@,DAL,6,L (-2),1,34:37,4,9,.444,1,2,.500,3,4,.750,0,6,6,1,3,0,1,4,12,9.8,+7
42,7,2014-05-04,WC1,SAS,,DAL,7,W (+23),1,29:14,7,14,.500,1,5,.200,0,1,.000,1,5,6,1,0,0,0,2,15,9.7,+15
43,8,2014-05-06,WCS,SAS,,POR,1,W (+24),1,32:52,6,13,.462,1,4,.250,3,5,.600,1,8,9,1,4,0,0,1,16,15.9,+18
44,9,2014-05-08,WCS,SAS,,POR,2,W (+17),1,28:08,8,9,.889,4,4,1.000,0,0,,0,5,5,0,2,2,0,3,20,20.6,+13
45,10,2014-05-10,WCS,SAS,@,POR,3,W (+15),1,28:55,4,10,.400,1,3,.333,7,7,1.000,0,10,10,0,1,0,0,4,16,13.0,+3
46,11,2014-05-12,WCS,SAS,@,POR,4,L (-11),1,27:15,5,10,.500,0,2,.000,1,2,.500,1,6,7,3,2,2,0,1,11,13.2,-15
47,12,2014-05-14,WCS,SAS,,POR,5,W (+22),1,34:54,9,15,.600,3,4,.750,1,2,.500,1,6,7,2,5,0,0,2,22,22.8,+23
48,13,2014-05-19,WCF,SAS,,OKC,1,W (+17),1,39:04,7,16,.438,1,4,.250,1,2,.500,1,5,6,2,3,1,1,2,16,12.7,+12
49,14,2014-05-21,WCF,SAS,,OKC,2,W (+35),1,15:45,2,4,.500,0,0,,0,0,,0,1,1,4,1,1,1,3,4,4.6,+23
50,15,2014-05-25,WCF,SAS,@,OKC,3,L (-9),1,31:21,4,11,.364,0,3,.000,2,2,1.000,1,2,3,2,2,0,1,2,10,6.8,-13
51,16,2014-05-27,WCF,SAS,@,OKC,4,L (-13),1,24:48,3,9,.333,2,5,.400,2,2,1.000,1,4,5,1,0,0,1,1,10,6.1,-20
52,17,2014-05-29,WCF,SAS,,OKC,5,W (+28),1,32:37,4,7,.571,1,2,.500,5,5,1.000,1,6,7,2,2,0,1,3,14,14.4,+22
53,18,2014-05-31,WCF,SAS,@,OKC,6,W (+5),1,44:17,8,21,.381,1,5,.200,0,0,,5,6,11,4,1,1,2,4,17,11.7,-6
54,19,2014-06-05,FIN,SAS,,MIA,1,W (+15),1,23:33,3,5,.600,2,3,.667,1,2,.500,0,2,2,0,1,0,4,3,9,2.7,+11
55,20,2014-06-08,FIN,SAS,,MIA,2,L (-2),1,31:32,3,9,.333,2,3,.667,1,2,.500,0,2,2,3,1,0,0,6,9,4.8,-6
56,21,2014-06-10,FIN,SAS,@,MIA,3,W (+19),1,39:16,10,13,.769,3,6,.500,6,7,.857,1,3,4,2,2,2,1,4,29,27.3,+19
